Word,Pronounce
artillery,[ɑːˈtɪl.ər.i]
asset,[ˈæs.et]
blade,[bleɪd]
broom,[bruːm]
bullet,[ˈbʊl.ɪt]
bulletin,[ˈbʊl.ə.tɪn]
cannon,[ˈkæn.ən]
container,[kənˈteɪ.nər]
crop,[krɒp]
dime,[daɪm]
drain,[dreɪn]
framework,[ˈfreɪm.wɜːk]
freight,[freɪt]
function,[ˈfʌŋk.ʃən]
goods,[ɡʊdz]
handcuff,[ˈhænd.kʌf]
malfunction,[ˌmælˈfʌŋk.ʃən]
means,[miːnz]
merchandise,[ˈmɜː.tʃən.daɪz]
mop,[mɒp]
operate,[ˈɒp.ər.eɪt]
parachute,[ˈpær.ə.ʃuːt]
patent,[ˈpeɪ.tənt]
plow,[plaʊ]
pottery,[ˈpɒt.ər.i]
publicity,[pʌbˈlɪs.ə.ti]
quarter,[ˈkwɔː.tər]
questionnaire,[ˌkwes.tʃəˈneər]
realty,[ˈrɪəl.ti]
resource,[rɪˈzɔːs]
revolver,[rɪˈvɒl.vər]
reward,[rɪˈwɔːd]
rust,[rʌst]
saw,[sɔː]
site,[saɪt]
skyscraper,[ˈskaɪˌskreɪ.pər]
spade,[speɪd]
stockpile,[ˈstɒk.paɪl]
storage,[ˈstɔː.rɪdʒ]
subsidy,[ˈsʌb.sɪ.di]
sufficient,[səˈfɪʃ.ənt]
tariff,[ˈtær.ɪf]
tax,[tæks]
warehouse,[ˈweə.haʊs]
warrant,[ˈwɒr.ənt]
wastebasket,[ˈweɪstˌbɑː.skɪt]
weapon,[ˈwep.ən]
wingspan,[ˈwɪŋ.spæn]
accumulate,[əˈkjuː.mjə.leɪt]
adjust,[əˈdʒʌst]
affair,[əˈfeər]
agency,[ˈeɪ.dʒən.si]
ambivalent,[æmˈbɪv.ə.lənt]
aquaculture,[ˈæk.wə.kʌl.tʃər]
auction,[ˈɔːk.ʃən]
autobiography,[ˌɔː.tə.baɪˈɒɡ.rə.fi]
bankrupt,[ˈbæŋ.krʌpt]
bid,[bɪd]
bill,[bɪl]
breakthrough,[ˈbreɪk.θruː]
bribe,[braɪb]
budget,[ˈbʌdʒ.ɪt]
commercial,[kəˈmɜː.ʃəl]
consist,[kənˈsɪst]
construct,[kənˈstrʌkt]
consumer,[kənˈsjuː.mər]
costly,[ˈkɒst.li]
deadlock,[ˈded.lɒk]
deal,[diːl]
destruction,[dɪˈstrʌk.ʃən]
devastate,[ˈdev.ə.steɪt]
editorial,[ˌed.ɪˈtɔː.ri.əl]
employ,[ɪmˈplɔɪ]
execute,[ˈek.sɪ.kjuːt]
export,[ɪkˈspɔːt]
forfeit,[ˈfɔː.fɪt]
fraud,[frɔːd]
fund,[fʌnd]
imprison,[ɪmˈprɪz.ən]
income,[ˈɪŋ.kʌm]
inflation,[ɪnˈfleɪ.ʃən]
infrastructure,[ˈɪn.frəˌstrʌk.tʃər]
install,[ɪnˈstɔːl]
intake,[ˈɪn.teɪk]
labor,[ˈleɪ.bər]
lease,[liːs]
loan,[ləʊn]
manufacture,[ˌmæn.jəˈfæk.tʃər]
maximize,[ˈmæk.sɪ.maɪz]
monopoly,[məˈnɒp.əl.i]
mortgage,[ˈmɔː.ɡɪdʒ]
outset,[ˈaʊt.set]
pen,[pen]
policy,[ˈpɒl.ə.si]
productive,[prəˈdʌk.tɪv]
profitable,[ˈprɒf.ɪ.tə.bəl]
propaganda,[ˌprɒp.əˈɡæn.də]
prosper,[ˈprɒs.pər]
punctuate,[ˈpʌŋk.tʃuː.eɪt]
retention,[rɪˈten.ʃən]
severance,[ˈsev.ər.əns]
slide,[slaɪd]
subscribe,[səbˈskraɪb]
sue,[suː]
synergy,[ˈsɪn.ə.dʒi]
tap,[tæp]
transaction,[trænˈzæk.ʃən]
weave,[wiːv]
abundance,[əˈbʌn.dəns]
addition,[əˈdɪʃ.ən]
allot,[əˈlɒt]
annually,[ˈæn.ju.ə.li]
asymmetry,[eɪˈsɪm.ə.tri]
aura,[ˈɔː.rə]
backfire,[ˌbækˈfaɪər]
bilingual,[baɪˈlɪŋ.ɡwəl]
boost,[buːst]
booth,[buːð]
career,[kəˈrɪər]
compatible,[kəmˈpæt.ə.bəl]
compensation,[ˌkɒm.penˈseɪ.ʃən]
complementary,[ˌkɒm.plɪˈmen.tər.i]
confirm,[kənˈfɜːm]
counterintuitive,[ˌkaʊn.tər.ɪnˈtʃuː.ɪ.tɪv]
credibility,[ˌkred.əˈbɪl.ə.ti]
debt,[det]
ditch,[dɪtʃ]
due,[dʒuː]
earnings,[ˈɜː.nɪŋz]
enterprise,[ˈen.tə.praɪz]
entitle,[ɪnˈtaɪ.təl]
equity,[ˈek.wɪ.ti]
errand,[ˈer.ənd]
estate,[ɪˈsteɪt]
estimation,[ˌes.tɪˈmeɪ.ʃən]
expense,[ɪkˈspens]
extravagance,[ɪkˈstræv.ə.ɡəns]
factor,[ˈfæk.tər]
factual,[ˈfæk.tʃu.əl]
firm,[fɜːm]
guarantee,[ˌɡær.ənˈtiː]
incentive,[ɪnˈsen.tɪv]
increase,[ɪnˈkriːs]
indebted,[ɪnˈdet.ɪd]
ingenuity,[ˌɪn.dʒəˈnjuː.ə.ti]
internal,[ɪnˈtɜː.nəl]
legitimate,[ləˈdʒɪt.ə.mət]
millionaire,[ˌmɪl.jəˈneər]
misfortune,[ˌmɪsˈfɔː.tʃuːn]
morale,[məˈrɑːl]
negotiate,[nəˈɡəʊ.ʃi.eɪt]
objective,[əbˈdʒek.tɪv]
obligation,[ˌɒb.lɪˈɡeɪ.ʃən]
organization,[ˌɔː.ɡən.aɪˈzeɪ.ʃən]
overwork,[ˌəʊ.vəˈwɜːk]
owe,[əʊ]
perseverance,[ˌpɜː.sɪˈvɪə.rəns]
potential,[pəˈten.ʃəl]
poverty,[ˈpɒv.ə.ti]
practical,[ˈpræk.tɪ.kəl]
precedent,[ˈpres.ɪ.dənt]
profile,[ˈprəʊ.faɪl]
qualify,[ˈkwɒl.ɪ.faɪ]
receipt,[rɪˈsiːt]
recommend,[ˌrek.əˈmend]
resign,[rɪˈzaɪn]
signature,[ˈsɪɡ.nə.tʃər]
situation,[ˌsɪtʃ.uˈeɪ.ʃən]
skillful,[ˈskɪl.fəl]
staff,[stɑːf]
stake,[steɪk]
stance,[stɑːns]
standpoint,[ˈstænd.pɔɪnt]
success,[səkˈses]
surplus,[ˈsɜː.pləs]
swift,[swɪft]
thrift,[θrɪft]
transfer,[trænsˈfɜːr]
transition,[trænˈzɪʃ.ən]
trend,[trend]
unemployment,[ˌʌn.ɪmˈplɔɪ.mənt]
value,[ˈvæl.juː]
venture,[ˈven.tʃər]
ware,[weər]
workload,[ˈwɜːk.ləʊd]
worth,[wɜːθ]
annals,[ˈæn·əlz]
anniversary,[ˌæn.ɪˈvɜː.sər.i]
assemble,[əˈsem.bəl]
assign,[əˈsaɪn]
auditorium,[ˌɔː.dɪˈtɔː.ri.əm]
authority,[ɔːˈθɒr.ə.ti]
bow,[baʊ]
censorship,[ˈsen.sə.ʃɪp]
charter,[ˈtʃɑː.tər]
committee,[kəˈmɪt.i]
community,[kəˈmjuː.nə.ti]
debate,[dɪˈbeɪt]
degree,[dɪˈɡriː]
diploma,[dɪˈpləʊ.mə]
discipline,[ˈdɪs.ə.plɪn]
donation,[dəʊˈneɪ.ʃən]
elementary,[ˌel.ɪˈmen.tər.i]
emblem,[ˈem.bləm]
enroll,[ɪnˈroʊl]
entrance,[ˈen.trəns]
faculty,[ˈfæk.əl.ti]
forbid,[fəˈbɪd]
graduation,[ˌɡrædʒ.uˈeɪ.ʃən]
headmaster,[ˌhedˈmɑː.stər]
illiterate,[ɪˈlɪt.ər.ət]
institution,[ˌɪn.stɪˈtʃuː.ʃən]
intermediate,[ˌɪn.təˈmiː.di.ət]
intermission,[ˌɪn.təˈmɪʃ.ən]
memorial,[məˈmɔː.ri.əl]
notice,[ˈnəʊ.tɪs]
prestige,[presˈtiːʒ]
primary,[ˈpraɪ.mər.i]
principal,[ˈprɪn.sə.pəl]
privilege,[ˈprɪv.əl.ɪdʒ]
recess,[rɪˈses]
register,[ˈredʒ.ɪ.stər]
regular,[ˈreɡ.jə.lər]
solemn,[ˈsɒl.əm]
statue,[ˈstætʃ.uː]
supervise,[ˈsuː.pə.vaɪz]
suspend,[səˈspend]
tradition,[trəˈdɪʃ.ən]
algebra,[ˈæl.dʒə.brə]
anthropology,[ˌæn.θrəˈpɒl.ə.dʒi]
architecture,[ˈɑː.kɪ.tek.tʃər]
arithmetic,[əˈrɪθ.mə.tɪk]
bibliography,[ˌbɪb.liˈɒɡ.rə.fi]
buddhism,[ˈbʊd.ɪ.zəm]
calligraphy,[kəˈlɪɡ.rə.fi]
capitalism,[ˈkæp.ɪ.təl.ɪ.zəm]
catholicism,[kəˈθɒl.ɪ.sɪ.zəm]
civilization,[ˌsɪv.əl.aɪˈzeɪ.ʃən]
composition,[ˌkɒm.pəˈzɪʃ.ən]
consonant,[ˈkɒn.sə.nənt]
constitution,[ˌkɒn.stɪˈtʃuː.ʃən]
craft,[krɑːft]
curriculum,[kəˈrɪk.jə.ləm]
definition,[ˌdef.ɪˈnɪʃ.ən]
dictation,[dɪkˈteɪ.ʃən]
ecology,[iˈkɒl.ə.dʒi]
educate,[ˈedʒ.u.keɪt]
encyclopedia,[ɪnˌsaɪ.kləˈpiː.di.ə]
equation,[ɪˈkweɪ.ʒən]
ethics,[ˈeθ·ɪks]
explanation,[ˌek.spləˈneɪ.ʃən]
fraction,[ˈfræk.ʃən]
genre,[ˈʒɑ̃ː.rə]
geography,[dʒiˈɒɡ.rə.fi]
geometry,[dʒiˈɒm.ə.tri]
gymnastics,[dʒɪmˈnæs.tɪks]
horticultural,[ˌhɔː.tɪˈkʌl.tʃər.əl]
ideology,[ˌaɪ.diˈɒl.ə.dʒi]
impartial,[ɪmˈpɑː.ʃəl]
independence,[ˌɪn.dɪˈpen.dəns]
instruction,[ɪnˈstrʌk.ʃən]
kindergarten,[ˈkɪn.dəˌɡɑː.tən]
literary,[ˈlɪt.ər.ər.i]
logical,[ˈlɒdʒ.ɪ.kəl]
mandatory,[ˈmæn.də.tər.i]
manuscript,[ˈmæn.jə.skrɪpt]
medieval,[ˌmed.ˈiː.vəl]
novelization,[/ˈkwɔː.tə.bæk/]
parliament,[ˈpɑː.lɪ.mənt]
philosophy,[fɪˈlɒs.ə.fi]
politics,[ˈpɒl.ə.tɪks]
prehistoric,[ˌpriː.hɪˈstɒr.ɪk]
present,[ˈprez.ənt]
prose,[prəʊz]
punctual,[ˈpʌŋk.tʃu.əl]
review,[rɪˈvjuː]
revise,[rɪˈvaɪz]
revolution,[ˌrev.əˈluː.ʃən]
rhetorical,[rɪˈtɒr.ɪ.kəl]
rhyme,[raɪm]
satire,[ˈsæt.aɪər]
scholarship,[ˈskɒl.ə.ʃɪp]
session,[ˈseʃ.ən]
statesman,[ˈsteɪts.mən]
stride,[straɪd]
subtract,[səbˈtrækt]
suffix,[ˈsʌf.ɪks]
summary,[ˈsʌm.ər.i]
symphony,[ˈsɪm.fə.ni]
synonym,[ˈsɪn.ə.nɪm]
terminology,[ˌtɜː.mɪˈnɒl.ə.dʒi]
theme,[θiːm]
translate,[trænzˈleɪt]
treaty,[ˈtriː.ti]
tuition,[tʃuːˈɪʃ.ən]
tyrant,[ˈtaɪə.rənt]
verbal,[ˈvɜː.bəl]
verse,[vɜːs]
violence,[ˈvaɪə.ləns]
vowel,[vaʊəl]
adolescent,[ˌæd.əˈles.ənt]
applaud,[əˈplɔːd]
aptitude,[ˈæp.tɪ.tʃuːd]
aspiration,[ˌæs.pɪˈreɪ.ʃən]
boredom,[ˈbɔː.dəm]
companion,[kəmˈpæn.jən]
concentration,[ˌkɒn.sənˈtreɪ.ʃən]
disciple,[dɪˈsaɪ.pəl]
dodge,[dɒdʒ]
endurance,[ɪnˈdʒʊə.rəns]
entrant,[ˈen.trənt]
eventually,[ɪˈven.tʃu.ə.li]
excel,[ɪkˈsel]
expel,[ɪkˈspel]
extrinsic,[ekˈstrɪn.zɪk]
forthright,[ˈfɔːθ.raɪt]
forthwith,[ˌfɔːθˈwɪθ]
freshman,[ˈfreʃ.mən]
genius,[ˈdʒiː.ni.əs]
grant,[ɡrɑːnt]
hallway,[ˈhɔːl.weɪ]
identity,[aɪˈden.tə.ti]
individual,[ˌɪn.dɪˈvɪdʒ.u.əl]
influence,[ˈɪn.flu.əns]
innate,[ɪˈneɪt]
inner,[ˈɪn.ər]
insight,[ˈɪn.saɪt]
inspiration,[ˌɪn.spɪˈreɪ.ʃən]
intellectual,[ˌɪn.təlˈek.tʃu.əl]
intuitive,[ɪnˈtʃuː.ɪ.tɪv]
inward,[ˈɪn.wəd]
juvenile,[ˈdʒuː.vən.aɪl]
mimic,[ˈmɪm.ɪk]
obedient,[əˈbiː.di.ənt]
ordinary,[ˈɔː.dən.əri]
outcast,[ˈaʊt.kɑːst]
outfit,[ˈaʊt.fɪt]
pastime,[N/A]
peer,[N/A]
performance,[N/A]
personality,[N/A]
perspective,[pəˈspek.tɪv]
portrait,[ˈpɔː.trət]
prompt,[prɒmpt]
pupil,[ˈpjuː.pəl]
rebel,[ˈreb.əl]
reputation,[ˌrep.jəˈteɪ.ʃən]
responsible,[rɪˈspɒn.sə.bəl]
reunion,[ˌriːˈjuː.njən]
riddle,[ˈrɪd.əl]
role,[rəʊl]
routine,[ruːˈtiːn]
selfless,[ˈself.ləs]
senior,[ˈsiː.ni.ər]
solitude,[ˈsɒl.ɪ.tʃuːd]
speculate,[ˈspek.jə.leɪt]
stereotype,[ˈster.i.ə.taɪp]
symbolic,[sɪmˈbɒl.ɪk]
tidy,[ˈtaɪ.di]
turmoil,[ˈtɜː.mɔɪl]
undergraduate,[ˌʌn.dəˈɡrædʒ.u.ət]
union,[ˈjuː.njən]
volunteer,[ˌvɒl.ənˈtɪər]
whiz,[wɪz]
witty,[ˈwɪt.i]
zealous,[ˈzel.əs]
abstract,[ˈæb.strækt]
aesthetics,[esˈθet̬·ɪks]
altruism,[ˈæl.tru.ɪ.zəm]
ancestor,[ˈæn.ses.tər]
anecdote,[ˈæn.ɪk.dəʊt]
belief,[bɪˈliːf]
burrow,[ˈbʌr.əʊ]
centrality,[senˈtræl.ɪti]
commitment,[kəˈmɪt.mənt]
communism,[ˈkɒm.jə.nɪ.zəm]
confucius,[kənˈfjuː.ʃəs]
divine,[dɪˈvaɪn]
doctrine,[ˈdɒk.trɪn]
enact,[ɪˈnækt]
enlightenment,[ɪnˈlaɪ.tən.mənt]
eternal,[ɪˈtɜː.nəl]
ethnic,[ˈeθ.nɪk]
extrovert,[ˈek.strə.vɜːt]
faith,[feɪθ]
fate,[feɪt]
folklore,[ˈfəʊk.lɔːr]
folktale,[ˈfoʊkˌteɪl]
forefather,[ˈfɔːˌfɑː.ðər]
genealogy,[ˌdʒiː.niˈæl.ə.dʒi]
gourmet,[ˈɡɔː.meɪ]
hell,[hel]
hereafter,[ˌhɪəˈrɑːf.tər]
heritage,[ˈher.ɪ.tɪdʒ]
humanity,[hjuːˈmæn.ə.ti]
ideal,[aɪˈdɪəl]
illumination,[ɪˌluː.mɪˈneɪ.ʃən]
illusion,[ɪˈluː.ʒən]
inalienable,[ɪˈneɪ.li.ə.nə.bəl]
irrational,[ɪˈræʃ.ən.əl]
kinship,[ˈkɪn.ʃɪp]
legacy,[ˈleɡ.ə.si]
legend,[ˈledʒ.ənd]
liberty,[ˈlɪb.ə.ti]
logography,[/ˈkwɔː.tə.bæk/]
mass,[mæs]
moral,[ˈmɒr.əl]
myth,[mɪθ]
natal,[ˈneɪ.təl]
notion,[ˈnəʊ.ʃən]
offspring,[ˈɒf.sprɪŋ]
omen,[ˈəʊ.mən]
parable,[ˈpær.ə.bəl]
paradox,[ˈpær.ə.dɒks]
parental,[pəˈren.təl]
patriot,[ˈpæt.ri.ət]
preference,[ˈpref.ər.əns]
premonition,[ˌprem.əˈnɪʃ.ən]
principle,[ˈprɪn.sə.pəl]
prophecy,[ˈprɒf.ə.si]
quotation,[kwəʊˈteɪ.ʃən]
racial,[ˈreɪ.ʃəl]
reasonable,[ˈriː.zən.ə.bəl]
ritual,[ˈrɪtʃ.u.əl]
sacred,[ˈseɪ.krɪd]
sacrifice,[ˈsæk.rɪ.faɪs]
sage,[seɪdʒ]
saint,[seɪnt]
sibling,[ˈsɪb.lɪŋ]
supernatural,[ˌsuː.pəˈnætʃ.ər.əl]
superstition,[ˌsuː.pəˈstɪʃ.ən]
taboo,[təˈbuː]
trait,[treɪt]
traumatic,[trɔːˈmæt.ɪk]
tribe,[traɪb]
utilitarial,[/ˈkwɔː.tə.bæk/]
witchcraft,[ˈwɪtʃ.krɑːft]
worship,[ˈwɜː.ʃɪp]
afterward,[ˈæf.tɚ.wɚd]
alter,[ˈɒl.tər]
aristocrat,[ˈær.ɪ.stə.kræt]
article,[ˈɑː.tɪ.kəl]
attain,[əˈteɪn]
audience,[ˈɔː.di.əns]
average,[ˈæv.ər.ɪdʒ]
award,[əˈwɔːd]
biography,[baɪˈɒɡ.rə.fi]
broadly,[ˈbrɔːd.li]
bygone,[ˈbaɪ.ɡɒn]
ceramic,[səˈræm.ɪk]
chore,[tʃɔːr]
column,[ˈkɒl.əm]
competition,[ˌkɒm.pəˈtɪʃ.ən]
conform,[kənˈfɔːm]
conscience,[ˈkɒn.ʃəns]
convert,[kənˈvɜːt]
coordinate,[kəʊˈɔː.dɪ.neɪt]
demerit,[ˌdiːˈmer.ɪt]
distraction,[dɪˈstræk.ʃən]
endeavor,[enˈdev.ɚ]
energetically,[ˌen.əˈdʒet.ɪ.kəl.i]
fruitful,[ˈfruːt.fəl]
influential,[ˌɪn.fluˈen.ʃəl]
introvert,[ˈɪn.trə.vɜːt]
invitation,[ˌɪn.vɪˈteɪ.ʃən]
liken,[ˈlaɪ.kən]
maxim,[ˈmæk.sɪm]
norm group,[N/A]
panel,[ˈpæn.əl]
paste,[peɪst]
perfection,[pəˈfek.ʃən]
pigment,[ˈpɪɡ.mənt]
portray,[pɔːˈtreɪ]
rational,[ˈræʃ.ən.əl]
refuge,[ˈref.juːdʒ]
repertoire,[ˈrep.ə.twɑːr]
restrict,[rɪˈstrɪkt]
retrospect,[ˈret.rə.spekt]
salute,[səˈluːt]
shed,[ʃed]
social,[ˈsəʊ.ʃəl]
spear,[spɪər]
stall,[stɔːl]
surpass,[səˈpɑːs]
variety,[vəˈraɪ.ə.ti]
worthwhile,[ˌwɜːθˈwaɪl]
achieve,[əˈtʃiːv]
adapt,[əˈdæpt]
advantage,[ədˈvɑːn.tɪdʒ]
archery,[ˈɑː.tʃər.i]
athletic,[æθˈlet.ɪk]
attempt,[əˈtempt]
bait,[beɪt]
bump,[bʌmp]
champion,[ˈtʃæm.pi.ən]
coverage,[ˈkʌv.ər.ɪdʒ]
drawback,[ˈdrɔː.bæk]
effort,[ˈef.ət]
gust,[ɡʌst]
harpoon,[hɑːˈpuːn]
immediate,[ɪˈmiː.di.ət]
indoor,[ˌɪnˈdɔːr]
league,[liːɡ]
offense,[əˈfens]
opponent,[əˈpəʊ.nənt]
opportunity,[ˌɒp.əˈtʃuː.nə.ti]
opposite,[ˈɒp.ə.zɪt]
outcome,[ˈaʊt.kʌm]
outdo,[ˌaʊtˈduː]
oval,[ˈəʊ.vəl]
perspiration,[ˌpɜː.spərˈeɪ.ʃən]
physical,[ˈfɪz.ɪ.kəl]
pitch,[pɪtʃ]
prevail,[prɪˈveɪl]
referee,[ˌref.əˈriː]
score,[skɔːr]
sprint,[sprɪnt]
steadily,[ˈsted.əl.i]
strenuous,[ˈstren.ju.əs]
strive,[straɪv]
sweat,[swet]
tackle,[ˈtæk.əl]
tactic,[ˈtæk.tɪk]
timely,[ˈtaɪm.li]
unfair,[ʌnˈfeər]
versus,[ˈvɜː.səs]
victorious,[vɪkˈtɔː.ri.əs]
wrestle,[ˈres.əl]
anonymous,[əˈnɒn.ɪ.məs]
apprehend,[ˌæp.rɪˈhend]
blaze,[bleɪz]
bystander,[ˈbaɪˌstæn.dər]
calamity,[kəˈlæm.ə.ti]
captive,[ˈkæp.tɪv]
catastrophe,[kəˈtæs.trə.fi]
clue,[kluː]
collision,[kəˈlɪʒ.ən]
crash,[kræʃ]
crime,[kraɪm]
crook,[krʊk]
desperate,[ˈdes.pər.ət]
detective,[dɪˈtek.tɪv]
embed,[ɪmˈbed]
evacuate,[ɪˈvæk.ju.eɪt]
gamble,[ˈɡæm.bəl]
homicide,[ˈhɒm.ɪ.saɪd]
idiot,[ˈɪd.i.ət]
imminent,[ˈɪm.ɪ.nənt]
immoral,[ɪˈmɒr.əl]
incident,[ˈɪn.sɪ.dənt]
leak,[liːk]
mischance,[ˌmɪsˈtʃɑːns]
mob,[mɒb]
nowadays,[ˈnaʊ.ə.deɪz]
plight,[plaɪt]
portion,[ˈpɔː.ʃən]
predator,[ˈpred.ə.tər]
rally,[ˈræl.i]
robbery,[ˈrɒb.ər.i]
sake,[seɪk]
script,[skrɪpt]
seldom,[ˈsel.dəm]
sin,[sɪn]
starvation,[stɑːˈveɪ.ʃən]
testimony,[ˈtes.tɪ.mən.i]
theft,[θeft]
threat,[θret]
trial,[traɪəl]
woe,[wəʊ]
wreckage,[ˈrek.ɪdʒ]
alliance,[əˈlaɪ.əns]
anarchy,[ˈæn.ə.ki]
armament,[ˈɑː.mə.mənt]
armor,[ˈɑː.mər]
autocracyt,[/ˈkwɔː.tə.bæk/]
ballot,[ˈbæl.ət]
barbarism,[ˈbɑː.bə.rɪ.zəm]
barrier,[ˈbær.i.ər]
colony,[ˈkɒl.ə.ni]
compromise,[ˈkɒm.prə.maɪz]
contemporary,[kənˈtem.pər.ər.i]
counterattack,[ˈkaʊn.tər.ə.tæk]
detail,[ˈdiː.teɪl]
distortion,[dɪˈstɔː.ʃən]
dormant,[ˈdɔː.mənt]
duel,[ˈdʒuː.əl]
dynasty,[ˈdɪn.ə.sti]
emperor,[ˈem.pər.ər]
era,[ˈɪə.rə]
escalate,[ˈes.kə.leɪt]
exploit,[ɪkˈsplɔɪt]
famine,[ˈfæm.ɪn]
feat,[fiːt]
frenzy,[ˈfren.zi]
garment,[ˈɡɑː.mənt]
generation,[ˌdʒen.əˈreɪ.ʃən]
heir,[eər]
imperial,[ɪmˈpɪə.ri.əl]
inference,[ˈɪn.fər.əns]
instance,[ˈɪn.stəns]
Jew,[dʒuː]
knight,[naɪt]
majesty,[ˈmædʒ.ə.sti]
mobilize,[ˈməʊ.bɪ.laɪz]
monarchy,[ˈmɒn.ə.ki]
mount,[maʊnt]
multitude,[ˈmʌl.tɪ.tʃuːd]
muslim,[ˈmʊz.lɪm]
normally,[ˈnɔː.mə.li]
occasion,[əˈkeɪ.ʒən]
overthrow,[ˌəʊ.vəˈθrəʊ]
persecution,[ˌpɜː.sɪˈkjuː.ʃən]
phantom,[ˈfæn.təm]
phenomenon,[fəˈnɒm.ɪ.nən]
pioneer,[ˌpaɪəˈnɪər]
plot,[plɒt]
postwar,[ˈpəʊst.wɔː]
radical,[ˈræd.ɪ.kəl]
realm,[relm]
reign,[reɪn]
repeated,[rɪˈpiː.tɪd]
riot,[ˈraɪ.ət]
slaughter,[ˈslɔː.tər]
strife,[straɪf]
surrender,[sərˈen.dər]
throne,[θrəʊn]
throughout,[θruːˈaʊt]
torture,[ˈtɔː.tʃər]
traitor,[ˈtreɪ.tər]
troop,[truːp]
undoubtedly,[ʌnˈdaʊ.tɪd.li]
unity,[ˈjuː.nə.ti]
unparalleled,[ʌnˈpær.əl.eld]
unprecedented,[ʌnˈpres.ɪ.den.tɪd]
vessel,[ˈves.əl]
warfare,[ˈwɔː.feər]
abide,[əˈbaɪd]
above,[əˈbʌv]
affluent,[ˈæf.lu.ənt]
austerity,[ɔːˈster.ə.ti]
barley,[ˈbɑː.li]
besiege,[bɪˈsiːdʒ]
bride,[braɪd]
bridegroom,[ˈbraɪd.ɡruːm]
celebrity,[səˈleb.rə.ti]
comply,[kəmˈplaɪ]
congress,[ˈkɒŋ.ɡres]
contrive,[kənˈtraɪv]
conventional,[kənˈven.ʃən.əl]
cradle,[ˈkreɪ.dəl]
critic,[ˈkrɪt.ɪk]
curator,[kjʊəˈreɪ.tər]
deposit,[dɪˈpɒz.ɪt]
deprivation,[ˌdep.rɪˈveɪ.ʃən]
detergent,[dɪˈtɜː.dʒənt]
devour,[N/A]
divorce,[dɪˈvɔːs]
domestic,[dəˈmes.tɪk]
dough,[dəʊ]
downturn,[ˈdaʊn.tɜːn]
drastic,[ˈdræs.tɪk]
dwell,[dwel]
earthly,[ˈɜːθ.li]
easter,[ˈiː.stər]
eccentric,[ɪkˈsen.trɪk]
elder,[ˈel.dər]
enrich,[ɪnˈrɪtʃ]
equality,[iˈkwɒl.ə.ti]
exclusive,[ɪkˈskluː.sɪv]
fad,[fæd]
fatality,[fəˈtæl.ə.ti]
footwear,[ˈfʊt.weər]
frame,[freɪm]
frugal,[ˈfruː.ɡəl]
gap,[ɡæp]
hinge,[hɪndʒ]
household,[ˈhaʊs.həʊld]
immigrant,[ˈɪm.ɪ.ɡrənt]
inflow,[ˈɪn.fləʊ]
inherit,[ɪnˈher.ɪt]
integral,[ˈɪn.tɪ.ɡrəl]
interior,[ɪnˈtɪə.ri.ər]
intersection,[ˌɪn.təˈsek.ʃən]
intervention,[ˌɪn.təˈven.ʃən]
justify,[ˈdʒʌs.tɪ.faɪ]
lad,[læd]
laundry,[ˈlɔːn.dri]
lawn,[lɔːn]
legislation,[ˌledʒ.ɪˈsleɪ.ʃən]
lottery,[ˈlɒt.ər.i]
mandate,[ˈmæn.deɪt]
mobility,[məʊˈbɪl.ə.ti]
mole,[məʊl]
enat,[/ˈkwɔː.tə.bæk/]
obligatorty,[/ˈkwɔː.tə.bæk/]
offender,[əˈfen.dər]
orphan,[ˈɔː.fən]
outage,[ˈaʊ.tɪdʒ]
particular,[pəˈtɪk.jə.lər]
perfume,[ˈpɜː.fjuːm]
pious,[ˈpaɪ.əs]
population,[ˌpɒp.jəˈleɪ.ʃən]
posterity,[pɒsˈter.ə.ti]
preach,[priːtʃ]
proper,[ˈprɒp.ər]
protection,[prəˈtek.ʃən]
racist,[ˈreɪ.sɪst]
recipe,[ˈres.ɪ.pi]
regime,[reɪˈʒiːm]
reindeer,[ˈreɪn.dɪər]
rely,[rɪˈlaɪ]
resemble,[rɪˈzem.bəl]
residential,[ˌrez.ɪˈden.ʃəl]
revalidate,[ˌriːˈvæl.ɪ.deɪt]
rod,[rɒd]
royal,[ˈrɔɪ.əl]
sash,[sæʃ]
seasoning,[ˈsiː.zən.ɪŋ]
segregation,[ˌseɡ.rɪˈɡeɪ.ʃən]
sermon,[ˈsɜː.mən]
shelter,[ˈʃel.tər]
shorts,[ʃɔːts]
sideboard,[ˈsaɪd.bɔːd]
skylark,[ˈskaɪ.lɑːk]
sophisticated,[səˈfɪs.tɪ.keɪ.tɪd]
spectator,[spekˈteɪ.tər]
spice,[spaɪs]
spouse,[spaʊs]
stack,[stæk]
static,[ˈstæt.ɪk]
stick,[stɪk]
straw,[strɔː]
suitor,[ˈsuː.tər]
sweep,[swiːp]
thread,[θred]
tickle,[ˈtɪk.əl]
tray,[treɪ]
unedited,[/ˈkwɔː.tə.bæk/]
utensil,[juːˈten.səl]
vanguard,[ˈvæn.ɡɑːd]
ventilation,[ˌven.tɪˈleɪ.ʃən]
vogue,[vəʊɡ]
wholesome,[ˈhəʊl.səm]
widow,[ˈwɪd.əʊ]
accord,[əˈkɔːd]
accustom,[əˈkʌs·təm]
acknowledge,[əkˈnɒl.ɪdʒ]
acquire,[əˈkwaɪər]
adhere,[ədˈhɪər]
adjourn,[əˈdʒɜːn]
adornment,[əˈdɔːn.mənt]
